PRODUCT,DESC,UPC,QTY ON HAND,QTY HELD,TOTAL QUANTITY AVAILABLE
B038-4,Highland Stripe Bath Rug-S Beige,' 8902552051641,43,0,43
B039-1,Highland Stripe Bath Rug-M White,' 8902552051658,58,0,58
B039-2,Highland Stripe Bath Rug-M Griffin Gray,' 8902552051665,1,0,1
B039-3,Highland Stripe Bath Rug-M Provencial Blue,' 8902552051672,19,0,19
B039-4,Highland Stripe Bath Rug-M Beige,' 8902552051689,42,0,42
B040-1,Highland Stripe Bath Rug-L White,' 8902552051696,0,0,0
B040-2,Highland Stripe Bath Rug-L Griffin Gray,' 8902552051702,0,0,0
B040-3,Highland Stripe Bath Rug-L Provencial Blue,' 8902552051719,0,0,0
B040-4,Highland Stripe Bath Rug-L Beige,' 8902552051726,0,0,0
B041-1,Microfiber Loop Solid Bath Rug Set Black,' 8902552051818,0,0,0
B041-2,Microfiber Loop Solid Bath Rug Set Gray,' 8902552051825,0,0,0
B041-3,Microfiber Loop Solid Bath Rug Set Cream,' 8902552051832,53,0,53
B041-4,Microfiber Loop Solid Bath Rug Set Beige,' 8902552051849,5,0,5
B042-1,Microfiber Loop Checkers Bath Rug Black-White,' 8902552051856,0,0,0
B042-2,Microfiber Loop Checkers Bath Rug Gray-White,' 8902552051863,77,0,77
B042-3,Microfiber Loop Checkers Bath Rug Beige/Cream,' 8902552051870,66,0,66
B044-1,Chenille Shagg Border Bath Rug Set Sage Green,' 8902552054000,158,0,158
B044-2,Chenille Shagg Border Bath Rug Set Sky Blue,' 8902552054017,152,0,152
B044-3,Chenille Shagg Border Bath Rug Set Pink,' 8902552054024,148,0,148
B045-1,Chenille Shagg Round Bath Rug Turquoise,' 8902552054031,116,0,116
B045-2,Chenille Shagg Round Bath Rug - Egg Plant,' 8902552054048,29,0,29
B045-3,Chenille Shagg Round Bath Rug Hot Pink,' 8902552051955,107,0,107
B046-1,Manhattan Stripe Bath Rug Set Turquoise-White,' 8902552051962,8,0,8
B046-2,Manhattan Stripe Bath Rug Set GREY-WHITE,' 8902552051979,35,0,35
