Shipment ID	FBA15X53SG74											
Name	"FBA (1/4/21, 4:45 AM) - 1"											
Plan ID	PLN3CBBGRZ											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	45											
Total Units	1828											
shipment-total-cases	148											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
R002-18	"Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Navy Ivory"	B07F3C162G	B07F3C162G	EAN : 8902552051122	New	--	--	--	10	2	20	
R002-4	"hardin Home - 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Brick Red & Ivory"	B01MU2PYRM	B01MU2PYRM	EAN : 8902552049136	New	--	--	--	20	1	20	
R002-5	"Chardin home 100% cotton Diamond Rug Fully reversible - Mat size 21''x34'', Machine washable, Navy/Ivory"	B071ZZCJKH	B071ZZCJKH	EAN : 8902552048856	New	--	--	--	20	1	20	
R002-8	"Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Gray-Beige"	B074WHMGLH	B074WHMGLH	EAN : 8902552050033	New	--	--	--	10	3	30	
R002-9	"Chardin home 100% Cotton Diamond Runner Rug Fully Reversible, 2'x5', Machine Washable, Black-White"	B074WJ8WMS	B074WJ8WMS	EAN : 8902552050040	New	--	--	--	10	5	50	
R005-1	"Chardin home Denim Jute Runner Rug. Size: 24""x60"""	B074W75Q83	B074W75Q83	EAN : 8902552050163	New	--	--	--	8	5	40	
TR001	"Chardin Home Eco-friendly Natural Jute/hemp Table Runner, Size: 13”x72”"	B074WHWSGM	B074WHWSGM	EAN : 8902552050118	New	--	--	--	20	6	120	
TR002	"Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''"	B07575J673	B07575J673	EAN : 8902552050187	New	--	--	--	13	8	104	
TR005-1	"Chardin home Eco-Friendly Natural Jute/Cotton Table Runner, Size: 13""x72"". Jute/Aqua-Turquoise"	B07PBJ6YK1	B07PBJ6YK1	EAN : 8902552051368	New	--	--	--	20	2	40	
TR012-1	"Chardin Home – Eco-Friendly Recycled Leather Table Runner Size 13”x72”, Tan Brown"	B07YZNSSFS	B07YZNSSFS	EAN : 8902552052112	New	--	--	--	14	1	14	Kind arrange to make a box of 14 pcs and send.
TR016-1	"Chardin home – Carmel: Eco Friendly Cotton/Jute Placemats (Set of 4), Size: 13''x19''. (13''x72'')"	B0874K5VK8	B0874K5VK8	EAN : 0677355192690	New	--	--	--	10	2	20	
