Shipment ID	FBA15RSJPRN8											
Name	"FBA (10/1/20, 5:24 AM) - 1"											
Plan ID	PLN32J2JZD											
Ship To	"SMF3, 3923 S B ST, Stockton, CA, US, 95206-8202"											
Total SKUs	48											
Total Units	1097											
shipment-total-cases	80											
Pack list	1 of 1											
												
Merchant SKU	Title	ASIN	FNSKU	external-id	Condition	Who will prep?	Prep Type	Who will label?	Units per Case	Number of Cases	Shipped	
R039-1	"Chardin Home- Cairo: Hand Woven Recycled Cotton Runner Rug, Gray/Ivory, Size 2’x8’."	B086YLYJZS	X002I65BBX	EAN : 0677355197091	New	--	--	Merchant	6	1	6	
R040-1	"Chardin Home- Cairo: Hand Woven Recycled Cotton Rug, Gray/Ivory, Size 3’x5’. Machine Washable."	B086YCM2KH	B086YCM2KH	EAN : 0677355106246	New	--	--	--	6	1	6	
R044-1	"Chardin Home – Eco Friendly Checkers Rug: 100% Recycled Denim & Cotton, Size: 21”x34” Plus Fringes, Color Denim Blue/Off White. (21''x34'')"	B086YT5LR7	X002I65FDH	EAN : 0677355163720	New	--	--	Merchant	18	1	18	
R049-1	"Chardin Home – Eco Friendly Recycled and Reversible rag (chindi) Rug Runner, Grey/White, Size: 2'x5'"	B086YXCNYS	X002I65UT1	EAN : 0677355180024	New	--	--	Merchant	8	1	8	
R050-1	"Chardin Home – City Rug: Eco Friendly Recycled Cotton Denim Reversible rag (Chindi) Rug, Blues/Beige/White, Size 21”x34”."	B086YXNND1	B086YXNND1	EAN : 0677355139350	New	--	--	--	20	1	20	
R051-1	"Chardin Home Designer rag (chindi) Rug 'City' - Eco Friendly Recycled Cotton Denim Reversible Runner Rug, Navy, Denim Blue/White, Size 2'x8”."	B086YY7KQY	B086YY7KQY	EAN : 0677355139817	New	--	--	--	6	1	6	
R056-1	"Chardin Home- Cabana Stripe : Hand Woven Recycled Cotton Area Rug Runner, (2'x8', Black-White)"	B086YZZ365	B086YZZ365	EAN : 0677355173064	New	--	--	--	8	2	16	
R072-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (24''x36'')	B08D3NXRW4	X002L40RIT	EAN : 8903540506150	New	--	--	Merchant	18	2	36	
R073-1	Eco Friendly 100% Recycled Cotton Colorful Chindi Area Rug (2'x5')	B08D3GNCDC	X002L40TDH	EAN : 8903540506167	New	--	--	Merchant	8	2	16	
R075-2	"Chardin Home - 100% Cotton Handwoven, Fully Reversible Rug for Your Bathroom, Kitchen, Bedroom & More. Size 21''x34'', Machine Washable, Black & White"	B08D3LYRF6	X002L47RKF		New	--	--	Merchant	18	1	18	
TR002	"Chardin home Eco Friendly Denim chindi/Jute Table Runner, Size: 14''x72''"	B07575J673	B07575J673	EAN : 8902552050187	New	--	--	--	13	1	13	Kindly arrange to make a 13 pcs box for this sku
TR003	Chardin home Eco friendly Rainbow Multi Chindi table runner. (13''x72'')	B076Y35RVQ	B076Y35RVQ	EAN : 8902552050217	New	--	--	--	15	2	30	
TR018-1	"Chardin home Eco Friendly Coastal Cotton Chindi Table Runner, Blues/White, Size: 13""x72"""	B0874NVHJK	B0874NVHJK	EAN : 0677355132122	New	--	--	--	8	1	8	
